iter	Passed	Remaining
683	138669	266796
684	138991	266823
685	139233	266694
686	139471	266558
687	139670	266347
688	139853	266108
689	140024	265843
690	140262	265707
691	140509	265587
692	140803	265556
693	141048	265431
694	141259	265242
695	141510	265128
696	141745	264984
697	142037	264947
698	142282	264819
699	142519	264678
700	142752	264529
701	143028	264460
702	143253	264295
703	143493	264157
704	143714	263985
705	143950	263840
706	144219	263756
707	144443	263589
708	144663	263413
709	144910	263288
710	145173	263191
711	145572	263338
712	145864	263293
713	146125	263190
714	146368	263053
715	146656	262999
716	146888	262843
717	147080	262614
718	147280	262400
719	147610	262419
720	147799	262185
721	147991	261956
722	148196	261752
723	148397	261540
724	148593	261319
725	148799	261116
726	149029	260955
727	149243	260765
728	149462	260585
729	149698	260434
730	149927	260271
731	150122	260048
732	150314	259821
733	150501	259584
734	150768	259485
735	151061	259432
736	151299	259283
737	151518	259100
738	151778	258988
739	152130	259032
740	152413	258958
741	152714	258915
742	152993	258832
743	153261	258732
744	153603	258754
745	153889	258682
746	154152	258570
747	154393	258423
748	154590	258201
749	154817	258028
750	154976	257744
751	155200	257567
752	155503	257520
753	155757	257391
754	155936	257139
755	156104	256871
756	156269	256594
757	156434	256320
758	156607	256060
759	156789	255813
760	156965	255558
761	157157	255328
762	157344	255091
763	157516	254831
764	157716	254613
765	157922	254408
766	158085	254131
767	158272	253895
768	158441	253629
769	158607	253360
770	158796	253126
771	158978	252883
772	159168	252651
773	159334	252382
774	159493	252103
775	159660	251835
776	159836	251583
777	160027	251354
778	160234	251150
779	160496	251032
780	160735	250879
781	160952	250690
782	161170	250504
783	161386	250313
784	161866	250532
785	162777	251414
786	163101	251387
787	163380	251290
788	163648	251177
789	163860	250975
790	164080	250787
791	164363	250695
792	164568	250485
793	164735	250215
794	164967	250045
795	165145	249792
796	165406	249665
797	165603	249442
798	165799	249218
799	165995	248993
800	166217	248808
801	166472	248670
802	166747	248563
803	167082	248545
804	167394	248492
805	167654	248361
806	167866	248159
807	168238	248193
808	168523	248098
809	168802	247993
810	169105	247923
811	169361	247785
812	169604	247626
813	169818	247425
814	169983	247153
815	170128	246852
816	170353	246668
817	170543	246433
818	170784	246271
819	171043	246136
820	171264	245944
821	171490	245760
822	171724	245588
823	171911	245349
824	172067	245065
825	172295	244884
826	172502	244674
827	172720	244479
828	172873	244192
829	173069	243965
830	173318	243814
831	173602	243711
832	173986	243748
833	174268	243642
834	174474	243428
835	174640	243160
836	174873	242984
837	175115	242821
838	175358	242658
839	175768	242727
840	175995	242542
841	176270	242424
842	176457	242183
843	176652	241955
844	176874	241762
845	177086	241557
846	177293	241345
847	177524	241165
848	177750	240978
849	177989	240809
850	178228	240639
851	178472	240477
852	178643	240216
853	178850	240003
854	179034	239760
855	179236	239540
856	179428	239307
857	179640	239102
858	179824	238858
859	180003	238609
860	180181	238358
861	180366	238117
862	180551	237876
863	180731	237628
864	180921	237393
865	181112	237161
866	181275	236891
867	181477	236672
868	181658	236427
869	181836	236178
870	182026	235944
871	182198	235688
872	182387	235452
873	182590	235237
874	182875	235125
875	183104	234942
876	183301	234717
877	183535	234540
878	183770	234364
879	183996	234177
880	184200	233961
881	184378	233713
882	184556	233464
883	184775	233268
884	185015	233098
885	185158	232806
886	185310	232526
887	185508	232303
888	185692	232063
889	185877	231824
890	186070	231596
891	186236	231333
892	186410	231081
893	186579	230824
894	186820	230655
895	187024	230441
896	187198	230189
897	187432	230012
898	187615	229771
899	187805	229540
900	188005	229320
901	188287	229201
902	188609	229130
903	188869	228983
904	189107	228809
905	189375	228671
906	189611	228494
907	189800	228262
908	189968	228003
909	190148	227760
910	190330	227518
911	190498	227261
912	190661	226997
913	190834	226746
914	190986	226470
915	191161	226222
916	191331	225966
917	191522	225737
918	191759	225562
919	191924	225303
920	192096	225051
921	192270	224802
922	192445	224554
923	192624	224311
924	192817	224084
925	193006	223854
926	193200	223628
927	193419	223432
928	193641	223240
929	193808	222983
930	193989	222744
931	194146	222476
932	194300	222206
933	194413	221889
934	194575	221628
935	194734	221365
936	194850	221052
937	195009	220789
938	195128	220480
939	195301	220233
940	195528	220047
941	195715	219816
942	195880	219560
943	196181	219457
944	196465	219334
945	196679	219133
946	196903	218943
947	197166	218796
948	197397	218613
949	197553	218348
950	197746	218124
951	197962	217925
952	198219	217770
953	198470	217609
954	198673	217396
955	198963	217278
956	199126	217020
957	199372	216854
958	199595	216662
959	199773	216421
960	199951	216180
961	200119	215929
962	200286	215677
963	200535	215513
964	200730	215290
965	200863	215002
966	201046	214768
967	201312	214622
968	201522	214417
969	201684	214160
970	201862	213920
971	202071	213713
972	202274	213500
973	202466	213276
974	202667	213060
975	202892	212871
976	203086	212648
977	203255	212399
978	203492	212222
979	203671	211984
980	203860	211757
981	204088	211570
982	204311	211378
983	204636	211291
984	204900	211140
985	205144	210970
986	205353	210763
987	205547	210540
988	205738	210315
989	205915	210075
990	206102	209846
991	206293	209620
992	206490	209401
993	206700	209195
994	207001	209082
995	207226	208890
996	207439	208687
997	207636	208469
998	207807	208223
999	207975	207975
1000	208142	207727
1001	208347	207515
1002	208536	207288
1003	208744	207081
1004	208979	206900
1005	209199	206703
1006	209443	206531
1007	209675	206347
1008	209883	206139
1009	210100	205940
1010	210275	205699
1011	210469	205478
1012	210793	205383
1013	211019	205192
1014	211209	204967
1015	211428	204769
1016	211617	204542
1017	211806	204315
1018	211980	204075
1019	212239	203916
1020	212440	203701
1021	212610	203456
1022	212799	203230
1023	212996	203012
1024	213158	202760
1025	213346	202533
1026	213523	202295
1027	213699	202058
1028	213879	201824
1029	214126	201653
1030	214296	201409
1031	214420	201123
1032	214589	200878
1033	214758	200634
1034	214916	200381
1035	215086	200138
1036	215254	199894
1037	215415	199643
1038	215611	199424
1039	215804	199203
1040	215929	198920
1041	216116	198694
1042	216328	198491
1043	216462	198216
1044	216638	197980
1045	216851	197778
1046	217057	197570
1047	217252	197351
1048	217467	197150
1049	217676	196945
1050	217893	196747
1051	218115	196552
1052	218303	196328
1053	218504	196115
1054	218670	195870
1055	218841	195630
1056	219011	195390
1057	219171	195140
1058	219333	194893
1059	219498	194649
1060	219673	194414
1061	219859	194188
1062	220042	193960
1063	220246	193751
1064	220438	193530
1065	220604	193287
1066	220799	193069
1067	220975	192836
1068	221137	192590
1069	221317	192360
1070	221493	192126
1071	221669	191893
1072	221842	191657
1073	222014	191420
1074	222226	191218
1075	222398	190982
1076	222591	190762
1077	222762	190526
1078	222959	190310
1079	223130	190073
1080	223309	189844
1081	223487	189612
1082	223662	189380
1083	223835	189144
1084	224020	188920
1085	224241	188725
1086	224442	188515
1087	224577	188248
1088	224750	188014
1089	224925	187781
1090	225117	187563
1091	225303	187340
1092	225487	187115
1093	225669	186888
1094	225842	186655
1095	226012	186418
1096	226188	186187
1097	226348	185944
1098	226516	185706
1099	226703	185484
1100	226907	185277
1101	227106	185064
1102	227297	184846
1103	227504	184641
1104	227743	184461
